zi,data
假,⿰亻叚
偈,⿰亻曷
偉,⿰亻韋
偊,⿰亻禹
偋,⿰亻屏
偋,⿸𰁢并
偌,⿰亻若
偍,⿰亻是
偎,⿰亻畏
偏,⿰亻扁
偏,⿸𬽬𠕁
偐,⿰亻彦
偑,⿰亻風
偒,⿰亻昜
偓,⿰亻屋
偓,⿸𰁢至
偔,⿰亻咢
偕,⿰亻皆
偖,⿰亻者
偗,⿰亻省
偘,⿰亻品
偙,⿰亻帝
做,⿰亻故
做,⿰估攵
偛,⿰亻臿
停,⿰亻亭
偝,⿰亻背
偞,⿰亻枼
偟,⿰亻皇
偠,⿰亻要
偡,⿰亻甚
偢,⿰亻秋
偢,⿰𪜰火
偣,⿰亻音
偤,⿰亻酋
健,⿰亻建
偦,⿰亻胥
偧,⿰亻奓
偨,⿰亻柴
偩,⿰亻負
偪,⿰亻畐
偫,⿰亻待
偬,⿰亻怱
偭,⿰亻面
偮,⿰亻咠
偯,⿰亻哀
偰,⿰亻契
偱,⿰亻盾
偲,⿰亻思
偳,⿰亻耑
側,⿰亻則
側,⿰𰂇刂
偵,⿰亻貞
偶,⿰亻禺
偷,⿰亻俞
偸,⿰亻俞
偹,⿸攸田
偺,⿰亻昝
偻,⿰亻娄
偼,⿰亻疌
偽,⿰亻爲
偾,⿰亻贲
偿,⿰亻尝
傀,⿰亻鬼
傁,⿰亻叟
傂,⿰亻虒
傃,⿰亻素
傄,⿰亻眘
傅,⿰亻尃
傆,⿰亻原
傇,⿰亻茸
傈,⿰亻栗
傉,⿰亻辱
傉,⿸侲寸
傊,⿰亻員
傋,⿰亻冓
傌,⿰亻馬
傍,⿰亻旁
傎,⿰亻真
傏,⿰亻唐
傐,⿰亻高
傑,⿰亻桀
傒,⿰亻奚
傓,⿰亻扇
傓,⿸𬽬羽
傔,⿰亻兼
傕,⿰亻隺
傖,⿰亻倉
傗,⿰亻畜
傘,⿻个⿱从丛
傘,⿻个⿱㸚一
備,⿰亻𤰇
傚,⿰亻效
傚,⿰佼攵
傛,⿰亻容
傜,⿰亻䍃
傝,⿰亻𦐇
傞,⿰亻差
傞,⿸佯工
傟,⿰亻翁
傠,⿰亻討
傠,⿰信寸
傡,⿰亻竝
傡,⿰位立
傢,⿰亻家
傣,⿰亻泰
傤,⿰亻载
傥,⿰亻党
傦,⿰亻骨
傧,⿰亻宾
储,⿰亻诸
傩,⿰亻难
傩,⿰仅隹
傪,⿰亻參
傫,⿰亻累
催,⿰亻崔
傭,⿰亻庸
傭,⿸𠆲𬎾
傮,⿰亻曹
傯,⿰亻悤
傰,⿰亻崩
傱,⿰亻從
傲,⿰亻敖
傳,⿰亻專
傴,⿰亻區
債,⿰亻責
傶,⿰亻戚
傷,⿰亻𬀷
傸,⿰亻爽
傹,⿰亻竟
傺,⿰亻祭
傻,⿰亻𡕩
傼,⿰亻𦰩
傽,⿰亻章
傾,⿰亻頃
傾,⿰化頁
傿,⿰亻焉
僀,⿰亻帶
僁,⿰亻悉
僂,⿰亻婁
僃,⿰亻𤰈
僄,⿰亻票
僅,⿰亻堇
僆,⿰亻連
僇,⿰亻翏
僈,⿰亻曼
僉,⿳亼吅从
僊,⿰亻䙴
僋,⿰亻貪
僌,⿰俥攵
僌,⿰亻𨊴
働,⿰亻動
働,⿰偅力
僎,⿰亻巽
像,⿰亻象
僐,⿰亻善
僑,⿰亻喬
僒,⿰亻窘
僓,⿰亻貴
僔,⿰亻尊
僕,⿰亻菐
僕,⿰彳菐
僖,⿰亻喜
僗,⿰亻勞
僘,⿰亻敞
僘,⿰倘攵
僙,⿰亻黄
僚,⿰亻尞
僛,⿰亻欺
僛,⿰倛欠
僜,⿰亻登
僝,⿰亻孱
僝,⿸𰁢孨
僞,⿰亻爲
僟,⿰亻幾
僠,⿰亻番
僡,⿰亻惠
僢,⿰亻舜
僣,⿰亻替
僤,⿰亻單
僥,⿰亻堯
僦,⿰亻就
僦,⿰倞尤
僧,⿰亻曾
僧,⿰亻曽
僨,⿰亻賁
僩,⿰亻閒
僪,⿰亻矞
僫,⿰亻惡
僬,⿰亻焦
僭,⿰亻朁
僮,⿰亻童
僯,⿰亻粦
僰,⿱棘人
僱,⿰亻雇
僱,⿸𬽬隹
僲,⿰亻⿱覀舛
僳,⿰亻粟
僴,⿰亻間
僵,⿰亻畺
僶,⿰亻黽
僷,⿰亻葉
僸,⿰亻禁
價,⿰亻賈
僺,⿰亻喿
僻,⿰亻辟
僼,⿰亻豊
僽,⿰亻愁
僾,⿰亻愛
僿,⿰亻塞
儀,⿰亻義
儁,⿰亻雋
儂,⿰亻農
儃,⿰亻亶
億,⿰亻意
儅,⿰亻當
儆,⿰亻敬
儇,⿰亻睘
儈,⿰亻會
儉,⿰亻僉
儊,⿰亻楚
儋,⿰亻詹
儌,⿰亻敫
儍,⿰亻𡕰
儎,⿰亻載
儏,⿰亻粲
儐,⿰亻賓
儑,⿰亻㬎
儒,⿰亻需
儓,⿰亻臺
儔,⿰亻壽
儕,⿰亻齊
儖,⿰亻監
儗,⿰亻疑
儘,⿰亻盡
儙,⿰亻遣
儚,⿰亻夢
儛,⿰亻舞
儜,⿰亻寧
儝,⿰亻榮
儞,⿰亻爾
償,⿰亻賞
儠,⿰亻巤
儡,⿰亻畾
儢,⿰亻慮
儣,⿰亻廣
儣,⿸𠆲黄
儤,⿰亻暴
儥,⿰亻賣
儥,⿰亻𧶠
儦,⿰亻麃
儦,⿸𬿚灬
儧,⿰亻賛
儨,⿰亻質
儩,⿰亻賜
儩,⿰𰂇易
優,⿰亻憂
儫,⿰亻豪
儬,⿰亻靚
儬,⿰倩見
儭,⿰亻親
儭,⿰𠋆見
儮,⿰亻歷
儯,⿰亻駦
儰,⿰亻蔿
儱,⿰亻龍
儲,⿰亻諸
儲,⿰信者
儳,⿰亻毚
儴,⿰亻襄
儵,⿸攸黑
儶,⿰亻巂
儷,⿰亻麗
儸,⿰亻羅
儹,⿰亻贊
儺,⿰亻難
儺,⿰傼隹
儻,⿰亻黨
儼,⿰亻嚴
儼,⿸𠉬敢
儽,⿰亻纍
儾,⿰亻囊
儿,⿰丿乚
儿,⿰丿𠄌
儿,⿰丿㇄
兀,⿱一儿
允,⿱厶儿
兂,⿻尢𠃊
元,⿱二儿
元,⿱一兀
兄,⿱口儿
充,⿱𠫓儿
充,⿱亠允
兆,⿻乚氺
兆,⿰冫⿺儿𡿨
兇,⿱凶儿
先,⿱𠂒儿
光,⿱⺌兀
兊,⿱八允
兊,⿱公儿
克,⿱古儿
克,⿱十兄
兌,⿱八兄
兌,⿱㕣儿
免,⿱⺈⿻
免,⿸丿乚口
免,⿳⺈𫩏儿
免,⿱⺈⿻⿸丿𠄌口
兎,⿱丿⿷⿻⿸丿乚口丶
兎,⿱⿻
兎,亻口⿻乚八
兏,⿸𠂆𠑷
児,⿱旧儿
兑,⿱丷兄
兑,⿱𠮦儿
兒,⿱臼儿
兓,⿰旡旡
兓,⿰兂兂
兔,⿱⺈⿷⿻⿸丿乚口丶
兔,⿱刀⿷⿻⿸丿乚口丶
兔,⿳⺈𫩏⿻乚八
兔,⿱⺈⿷⿻⿸丿𠄌口丶
兔,⿱勹⿷⿻
兔,⿸丿乚口丶
兔,⿱勹⿷⿻
兔,⿸丿𠄌口丶
兕,⿱凹儿
兖,⿱亠兊
兖,⿱六允
兗,⿱亠兑
兗,⿱六兄
兘,⿺元台
兙,⿺克十
党,⿱龸兄
党,⿱尚儿
兛,⿺克千
兜,⿱⿲匚白コ儿
兝,⿺克分
兞,⿺克毛
兟,⿰先先
兠,⿱⿴北白儿
兡,⿺克百
兢,⿰克克
兣,⿺克厘
兤,⿺光廣
入,⿹乀丿
入,⿹丶丿
兦,⿺𠃊入
兦,⿺㇄入
內,⿻入冂
全,⿱人王
全,⿱入王
全,⿱亼土
全,⿱𫢉一
全,⿻仝一
全,⿱𠓛土
全,⿻㒰一
兩,⿻丅⿵冂𠓜
兪,⿱𠓛⿰⺝巜
兪,⿱亼⿰⺝巜
兪,⿱𠓛⿰⿵冂⺀巜
兪,⿱亼⿰月巜
八,⿰丿乀
八,⿰丿丶
公,⿱八厶
六,⿱亠八
兮,⿱八丂
兯,⿱丷𰆊
兰,⿱丷三
兰,⿱䒑二
共,⿱龷八
兲,⿱王八
兲,⿱一圥
关,⿱丷天
关,⿱八天
关,⿱䒑大
兴,⿳𭕄一八
兵,⿱丘八
其,⿱⿴龷二八
具,⿱⿴𠀃三八
具,⿳目一八
典,⿳⿻〢𠔼一八
兹,⿱丷𫠩
兹,⿱䒑𢆶
兺,⿱八𭇌
兺,⿱分𫜸
养,⿳䒑夫⿰丿丨
养,⿱𦍌介
兼,⿱䒑⿻〢⿱⺕八
兼,⿳八一⿻〢⿱⺕八
兼,⿳⿰丿丿一⿻〢⿱⺕八
兼,⿱⿰丿丿⿻艹⿱⺕八
兽,⿱𬎿𠮛
兾,⿱丷異
兾,⿱八異
兾,⿱𬎿共
兿,⿳䒑执云
冀,⿱北異
冁,⿰单展
冂,丨𠃌
冂,丨𠃍
冃,⿵冂二
冃,⿵𠔼一
冄,⿻冂二
冄,⿻⺆二
内,⿻人冂
円,⿵冂丄
冇,⿸𠂇冂
冇,⿸𠂇⺆
冈,⿵冂乂
冉,丨⿴⿻冂一一
冉,丨冄
冊,⿻𦉫一
冊,⿻⿵⺆〢一
冋,⿵冂口
册,⿻⿰⺆⺆一
册,⿻⿰⺆冂一
册,⿻⿰冂冂一
再,⿱一冉
冎,⿱⿵冂𠃍冂
冎,⿱𭁟冂
冎,⿱⿵冂𠃍冖
冎,⿱𭁟冖
冏,⿵冂㕣
冏,⿵𦉪口
冐,⿱冃⺝
冐,⿱冃冃
冐,⿱日月
冐,⿱日⺝
冐,⿱日⺼
冐,⿱冃月
冑,⿱由冃
冒,⿱冃目
冒,⿱日目
冓,⿱𠀎冉
冓,丨⿱𠀎冄
冔,⿱冃吁
冕,⿱冃免
冕,⿱日免
冖,乛丶
冗,⿱冖几
冘,⿻⿸丿乚冖
冘,⿻⿸丿𠄌冖
写,⿱冖与
冚,⿱冖山
军,⿱冖车
农,⿸⿻丿冖𰀠
冝,⿱冖且
冝,⿱肎一
冞,⿱冖米
冟,⿱冖皀
冠,⿱冖㝴
冡,⿳冖二𧰨
冡,⿳冖一豕
冢,⿱冖豖
冣,⿱冖取
冤,⿱冖兔
冥,⿱冖昗
冥,⿱𠕾六
冦,⿱冖⿺元攴
冧,⿱冖林
冨,⿱冖畐
冩,⿱冖舄
冪,⿱冖幕
冫,⿱丶㇀
冬,⿱夂⺀
冬,⿱夂冫
冭,⿱大⺀
冭,⿱大冫
冭,⿱太丶
冭,⿱太㇀
冮,⿰冫工
冯,⿰冫马
冰,⿰冫水
冱,⿰冫互
冲,⿰冫中
决,⿰冫夬
冴,⿰冫牙
况,⿰冫兄
冶,⿰冫台
冷,⿰冫令
冸,⿰冫半
冹,⿰冫犮
冺,⿰冫民
冻,⿰冫东
冼,⿰冫先
冽,⿰冫列
冾,⿰冫合
冿,⿰冫聿
净,⿰冫争
凁,⿰冫束
凂,⿰冫免
凃,⿰冫余
凄,⿰冫妻
凅,⿰冫固
准,⿰冫隹
凇,⿰冫松
凈,⿰冫争
凉,⿰冫京
凊,⿰冫青
凋,⿰冫周
凌,⿰冫夌
