zi,freq
矫,5
短,4
矮,5
矯,5
石,3
矶,5
矽,5
矿,5
码,3
砂,4
砌,5
砍,4
研,2
砖,5
砗,5
砰,5
砲,4
破,2
砸,5
础,4
硕,4
硝,5
硨,5
硫,5
硬,3
硷,5
碌,5
碍,4
碎,4
碑,5
碗,4
碘,5
碟,3
碧,4
碩,4
碰,4
碳,5
碴,5
確,2
碼,3
磁,3
磅,5
磊,5
磋,5
磕,5
磚,5
磨,4
磯,5
磷,5
礁,5
礎,4
礙,4
礦,5
示,3
礼,3
社,2
祁,5
祂,5
祇,5
祈,5
祉,5
祐,5
祕,5
祖,4
祝,4
神,2
祟,5
祠,5
祥,4
票,3
祭,5
祯,5
祷,5
祸,4
祺,5
祿,5
禁,4
禅,4
禍,4
禎,5
福,3
禦,5
禧,5
禪,4
禮,3
禱,5
禹,5
禽,5
禾,5
禿,5
秀,4
私,4
秉,5
秋,4
科,2
秒,4
秘,4
租,4
秤,4
秦,4
秩,5
积,4
称,3
移,4
秽,5
稀,5
稅,4
程,2
稍,4
稚,5
稜,5
稟,5
稠,5
稣,4
種,2
稱,3
稳,4
稻,5
稽,5
稿,4
穀,5
穆,5
穌,4
積,4
穎,5
穗,5
穢,5
穩,4
穫,5
穴,5
究,2
穷,4
穹,4
空,2
穿,3
突,3
窃,5
窄,5
窈,5
窍,5
窒,5
窕,5
窗,4
窘,5
窜,5
窝,4
窟,5
窥,5
窦,5
窩,4
窮,4
窯,5
窺,5
竄,5
竅,5
竇,5
竊,5
立,2
竑,5
站,1
竞,4
竟,3
章,1
竣,5
童,4
竭,5
端,4
競,4
竹,2
竺,5
竿,5
笃,5
笈,5
笑,2
笔,3
笙,5
笛,4
笠,5
符,4
笨,4
第,2
笺,5
笼,5
筆,3
等,2
筋,4
筍,5
筑,5
筒,5
答,3
策,3
筛,5
筝,5
筠,5
筱,5
筷,5
筹,4
签,3
简,3
箋,5
箏,5
箔,5
算,2
管,2
箫,5
箭,4
箱,4
節,3
範,4
篇,3
築,4
篑,5
篠,5
篤,5
篩,5
篮,4
簇,5
簡,3
簣,5
簧,5
簫,5
簽,3
簾,5
簿,5
籃,4
籌,4
籍,4
籐,5
籠,5
籤,5
籬,5
籲,5
米,4
类,2
籽,5
粉,4
粒,5
粗,4
粘,5
粥,5
粪,5
粮,5
粱,5
粵,5
粹,5
粽,5
精,3
糊,4
糕,4
糖,5
糗,5
糙,5
糞,5
糟,4
糢,5
糧,5
系,2
糾,5
紀,3
約,3
紅,3
紊,5
紋,5
納,4
紐,5
紓,5
純,3
紗,5
紙,3
級,2
紛,4
素,3
紡,5
索,4
紧,4
紫,4
紮,5
累,4
細,3
紳,5
紹,3
終,3
絃,5
組,2
絆,5
結,2
絕,3
絞,5
絡,3
絢,5
給,2
絨,5
絮,5
統,2
絲,4
綁,5
經,2
綜,4
綠,4
維,3
綱,4
網,2
綴,5
綸,5
綺,5
綻,5
綽,5
綾,5
綿,5
緊,4
緒,4
線,2
緝,5
締,5
緣,3
編,3
緩,4
緬,5
緯,5
練,3
緻,5
縈,5
縛,5
縣,4
縫,5
縮,4
縱,4
縷,5
總,2
績,4
繁,4
繃,5
繆,5
織,4
繕,5
繞,4
繡,5
繩,5
繪,4
繫,5
繭,5
繳,4
繹,5
繼,3
繽,5
續,3
纏,5
纖,5
纜,5
纠,5
红,3
纤,5
约,3
级,2
纪,3
纬,5
纯,3
纱,5
纲,4
纳,4
纵,4
纶,5
纷,4
纸,3
纹,5
纺,5
纽,5
纾,5
练,3
组,2
绅,5
细,3
织,4
终,3
绊,5
绍,3
绎,5
经,2
绑,5
绒,5
结,2
绕,4
绘,4
给,2
绚,5
络,3
绞,5
统,2
继,3
绩,4
绪,4
绫,5
续,3
绮,5
绰,5
绳,5
维,3
绵,5
综,4
绽,5
缀,5
缅,5
缆,5
缉,5
缓,4
缔,5
缕,5
编,3
缘,3
缚,5
缝,5
缠,5
缤,5
缩,4
缪,5
缮,5
缴,4
缸,4
缺,3
罐,5
罔,5
罕,5
罗,3
罚,4
罢,3
罣,5
罩,5
罪,3
置,3
罰,4
署,4
罵,3
罷,3
罹,5
羁,5
羅,3
羈,5
羊,4
美,2
羔,5
羚,5
羞,4
群,3
羨,5
義,2
羯,5
羲,5
羹,5
羽,4
羿,5
翁,4
翅,5
翊,5
翎,5
習,3
翔,4
翘,4
翟,5
翠,5
翡,5
翩,5
翰,5
翱,5
翹,4
翻,3
翼,4
耀,4
老,2
考,2
者,2
而,1
耍,4
耐,4
耕,5
耗,4
耘,5
耙,5
耨,5
耳,4
耶,2
耸,5
耽,5
耿,5
聂,5
聆,5
聊,3
聋,5
职,3
联,2
聖,3
聘,5
聚,4
聞,3
聪,4
聯,2
聰,4
聲,2
聳,5
聶,5
職,3
聽,2
聾,5
聿,5
肃,5
肅,5
肆,5
肇,5
肉,3
肋,5
肌,5
肖,5
肘,5
肚,4
肛,5
肝,5
肠,5
股,4
肢,5
肤,5
肥,4
肩,4
肪,5
肯,4
育,3
肺,5
肾,5
肿,5
胀,5
胁,5
胃,5
胆,4
背,3
胎,4
胏,5
胖,4
胚,5
胞,4
胡,4
胥,5
胧,5
胶,5
胸,4
胺,5
能,1
脂,5
脅,5
脆,4
脈,5
脊,5
脏,5
脑,2
脖,5
脫,4
脸,3
脹,5
脾,5
腎,5
腐,5
腔,5
腕,5
腥,5
腦,2
腫,5
腰,4
腳,3
腸,5
腹,5
腺,5
腻,5
腾,5
腿,4
膀,5
膏,5
膚,5
膛,5
膜,5
膝,5
膠,5
膨,5
膩,5
膳,5
膺,5
膽,4
臀,5
臂,5
臆,5
臉,3
臘,5
臟,5
臣,5
臥,4
臨,4
自,1
臭,4
至,2
致,3
臺,2
臻,5
臼,5
舅,5
舆,5
與,2
興,2
舉,3
舊,3
舌,5
舍,4
舒,4
舔,5
舖,5
舜,5
舞,3
舟,4
航,4
般,2
舰,4
舱,5
舵,5
船,4
艇,5
艘,5
艙,5
艦,4
良,3
艰,5
艱,5
色,2
艳,5
艷,5
艸,5
艺,3
艾,4
节,3
芋,5
芒,5
芙,5
芜,5
芝,5
芥,5
芦,5
芬,4
芭,5
芯,5
花,2
芳,4
芷,5
芹,5
芽,5
苇,5
苍,4
苏,4
苑,5
苓,5
苔,5
苗,5
苛,5
苟,5
若,2
苦,3
英,2
茁,5
茂,5
范,5
茄,5
茅,5
茉,5
茍,5
茎,5
茗,5
茜,5
茫,4
茱,5
茲,5
茵,5
茶,4
茹,5
草,3
荊,5
荐,5
荒,4
荡,5
荣,3
荤,5
荫,5
药,4
荳,5
荷,4
荻,5
荼,5
莉,4
莊,4
莎,4
莒,5
莓,5
莖,5
莘,5
莫,3
莱,4
莲,4
获,4
莹,5
莺,5
莽,5
菁,5
菇,5
菊,5
菌,5
菜,4
菩,4
華,2
菱,5
菲,4
菸,5
萃,5
萄,5
萊,4
萌,5
萍,5
萎,5
萝,5
萤,3
营,3
萦,5
萧,4
萨,4
萬,2
萱,5
落,3
葉,3
葔,5
著,2
葛,4
葡,5
董,5
葦,5
葫,5
葬,5
葭,5
葳,5
葵,5
葷,5
葾,5
蒂,5
蒋,4
蒐,5
蒙,4
蒜,5
蒞,5
蒲,5
蒸,5
蒹,5
蒼,4
蓄,5
蓉,5
蓊,5
蓋,4
蓓,5
蓝,3
蓦,5
蓬,5
蓮,4
蔑,5
蔓,5
蔔,5
蔗,5
蔚,5
蔡,4
蔣,4
蔥,5
蔬,5
蔭,5
蔷,5
蔺,5
蔼,5
蔽,5
蕃,5
蕉,5
蕊,5
蕙,5
蕩,5
蕪,5
蕭,4
蕾,5
薄,4
薇,5
薑,5
薔,5
薛,5
薦,3
薩,4
薪,4
薯,5
薰,5
藉,4
藍,3
藏,4
藐,5
藝,3
藤,4
藥,4
藩,5
藹,5
藺,5
藻,5
蘆,5
蘇,4
蘊,5
蘋,5
蘭,3
蘿,5
虎,3
虏,5
虐,5
虑,3
虔,5
處,2
虛,4
虜,5
虞,5
號,2
虧,4
虫,5
虹,5
虽,2
虾,5
蚀,5
蚁,5
蚂,5
蚊,5
蚓,5
蚣,5
蚤,5
蚯,5
蚱,5
蚵,5
蛀,5
蛇,5
蛊,5
蛋,4
蛎,5
蛙,4
蛛,5
蛤,5
蛮,3
蛰,5
蛻,5
蛾,5
蜀,5
蜂,4
蜈,5
蜍,5
蜓,5
蜗,5
蜘,5
蜜,4
蜢,5
蜥,5
蜴,5
蜻,5
蝇,5
蝉,5
蝕,5
蝙,5
蝠,5
蝦,5
蝴,5
蝶,4
蝸,5
螂,5
螃,5
融,4
螞,5
螢,3
螳,5
螺,5
蟀,5
蟄,5
蟋,5
蟑,5
蟬,5
蟲,4
蟹,4
蟻,5
蟾,5
蠅,5
蠍,4
蠟,5
蠢,5
蠣,5
蠱,5
蠶,5
蠹,5
蠻,3
血,3
衅,5
衆,3
行,2
衍,5
術,3
衔,5
街,4
衛,3
衝,4
衡,4
衣,4
补,3
表,2
衫,5
衬,5
衰,5
衷,5
袁,5
袂,5
袅,5
袋,4
袍,5
袒,5
袖,5
袜,5
被,2
袭,5
袱,5
裁,4
裂,4
装,2
裊,5
裔,5
裕,4
裘,5
裙,5
補,3
裝,2
裡,2
裤,4
裳,5
裴,5
裸,5
裹,5
製,3
複,4
褐,5
褒,5
褔,5
褚,5
褪,5
褲,4
褻,5
襄,5
襟,5
襪,5
襯,5
襲,5
西,2
要,1
覆,4
見,2
規,3
覓,5
視,2
親,3
覺,2
覽,4
觀,2
见,2
观,2
规,3
觅,5
视,2
览,4
觉,2
角,3
觞,5
解,2
觴,5
觸,4
言,2
訂,4
計,2
訊,1
討,2
訐,5
訓,3
訕,5
託,4
記,2
訛,5
訝,5
訟,5
訢,5
訣,5
訥,5
訪,4
設,2
許,2
訴,2
訶,5
診,5
註,3
証,4
詐,5
詔,5
評,3
詗,5
詛,5
詞,3
詠,5
詢,4
詣,5
試,2
詩,4
詬,5
詭,5
詮,5
詰,5
話,2
該,2
詳,3
詹,5
誅,5
誇,4
誉,4
誌,4
認,2
誓,4
誕,4
誘,5
語,2
誠,3
誡,5
誣,5
誤,3
誦,5
誨,5
說,1
誰,2
課,2
誼,4
調,3
諂,5
談,3
請,1
諒,4
論,2
諜,5
諦,5
諧,5
諭,5
諮,5
諱,5
諳,5
諷,5
諸,3
諺,5
諾,4
謀,4
謂,3
謊,5
謎,5
謗,5
謙,5
講,2
謝,2
謠,5
謬,5
謹,5
謾,5
證,3
譎,5
譏,5
識,2
譚,5
譜,4
警,3
譬,5
譯,4
議,2
譴,5
護,3
譽,4
讀,2
變,2
讓,2
讚,4
计,2
订,4
认,2
讥,5
讦,5
讨,2
让,2
讪,5
训,3
议,2
讯,1
记,2
讲,2
讳,5
讶,5
讷,5
许,2
讹,5
论,2
讼,5
讽,5
设,2
访,4
诀,5
证,3
诃,5
评,3
诅,5
识,2
诈,5
诉,2
诊,5
词,3
诏,5
译,4
试,2
诗,4
诘,5
诚,3
诛,5
话,2
诞,4
诟,5
诠,5
诡,5
询,4
诣,5
该,2
详,3
诫,5
诬,5
语,2
误,3
诱,5
诲,5
说,1
诵,5
请,1
诸,3
诺,4
读,2
课,2
谁,2
调,3
谄,5
谅,4
谈,3
谊,4
谋,4
谍,5
谎,5
谐,5
谓,3
谕,5
谘,5
谙,5
谚,5
谛,5
谜,5
谢,2
谤,5
谦,5
谨,5
谩,5
谬,5
谭,5
谱,4
谲,5
谴,5
谷,4
豁,5
豆,4
豈,4
豎,5
豐,4
豔,5
豚,5
象,2
豪,4
豫,5
豬,3
豹,5
貂,5
貌,4
貍,5
貓,2
貝,4
貞,4
負,3
財,4
貢,4
貧,5
貨,4
販,5
貪,4
貫,4
責,3
貳,5
貴,3
貶,5
買,2
貸,5
費,2
貼,3
貿,5
賀,4
賄,5
資,2
賈,5
賊,5
賓,4
賜,4
賞,3
賠,5
賢,4
賣,3
賤,4
賦,4
質,3
賬,5
賭,4
賴,4
賺,4
購,4
賽,2
贅,5
贈,4
贊,4
贏,4
贓,5
贖,5
贝,4
贞,4
负,3
贡,4
财,4
责,3
贤,4
败,3
账,5
货,4
质,3
贩,5
贪,4
贫,5
贬,5
购,4
贯,4
贰,5
贱,4
贴,3
贵,3
贷,5
贸,5
费,2
贺,4
贼,5
贾,5
贿,5
资,2
赋,4
赌,4
赎,5
赏,3
赐,4
赔,5
赖,4
赘,5
赚,4
赛,2
赞,4
赠,4
赢,4
赤,4
赦,5
赫,5
走,2
赴,5
赵,3
起,2
趁,5
超,2
越,3
趋,4
趕,3
趙,3
趟,5
趣,3
趨,4
足,3
趴,5
趾,5
跃,4
跆,5
跋,5
跌,4
跎,5
跑,3
跛,5
距,4
跟,2
跡,4
跤,5
跨,5
跪,5
路,2
跳,3
践,5
跷,5
踅,5
踌,5
踏,4
踐,5
踢,4
踩,5
踮,5
踴,5
踹,5
蹂,5
蹄,5
蹈,5
蹉,5
蹋,5
蹟,4
蹤,4
蹦,5
蹲,5
蹺,5
躁,5
躇,5
躊,5
躍,4
躏,5
躪,5
身,2
躬,5
躯,5
躲,4
躺,5
軀,5
車,2
軌,4
軍,2
軒,4
軟,3
軸,5
軾,5
較,2
載,3
輒,5
輔,4
輕,3
輛,4
輝,4
輩,4
輪,4
輯,3
輸,3
輻,5
輾,5
輿,5
轄,5
轅,5
轉,2
轍,5
轎,5
轟,4
车,2
轨,4
轩,4
转,2
轮,4
软,3
轰,4
轴,5
轻,3
轼,5
载,3
轿,5
较,2
辄,5
辅,4
辆,4
辈,4
辉,4
辐,5
辑,3
输,3
辕,5
辖,5
辗,5
辙,5
辛,4
辜,5
辞,4
辟,5
辣,5
辦,2
辨,4
辩,4
辫,5
辭,4
辮,5
辯,4
辰,5
辱,4
農,4
边,2
辽,5
达,3
迁,4
迂,5
迄,5
迅,4
过,1
迈,4
迋,5
迎,3
运,2
近,2
返,5
还,1
这,1
进,2
远,2
违,4
连,2
迟,4
迢,5
迦,5
迪,4
迫,4
述,3
迳,5
迴,4
迷,2
迺,5
追,3
退,3
送,3
逃,4
逅,5
逆,4
选,2
逊,4
逍,5
透,4
逐,4
递,5
途,4
逕,5
逗,5
這,1
通,2
逛,4
逝,4
逞,5
速,2
造,2
逢,3
連,2
逮,5
週,3
進,2
逸,4
逻,4
逼,4
逾,5
遁,5
遂,5
遇,3
遊,3
運,2
遍,4
過,1
遐,5
遑,5
道,1
達,3
違,4
遗,4
遙,4
遜,4
遞,5
遠,2
遣,5
遨,5
適,3
遭,4
遮,5
遲,4
遴,5
遵,5
遷,4
選,2
遺,4
遼,5
避,4
邀,4
邁,4
邂,5
邃,5
還,1
邊,2
邏,4
邓,5
那,1
邦,4
邪,4
邮,4
邱,4
邵,5
邹,5
邻,4
郁,5
郊,5
郎,4
郑,4
郝,5
郡,5
郤,5
部,2
郭,3
郵,4
都,1
鄉,4
鄒,5
鄙,5
鄧,5
鄭,4
鄰,4
酋,5
酌,5
配,3
酒,3
酥,5
酪,5
酬,5
酱,5
酵,5
酷,4
酸,4
酹,5
酿,5
醇,5
醉,4
醋,5
醒,4
醜,4
醫,3
醬,5
釀,5
釁,5
采,4
释,3
釋,3
里,3
重,2
野,3
量,2
釐,5
金,2
釗,5
釘,5
針,4
釣,4
釵,5
釷,5
鈍,5
鈑,5
鈔,5
鈕,5
鈞,5
鈣,5
鈴,4
鈺,5
鉅,5
鉗,5
鉛,5
鉤,5
鉴,5
銀,4
銅,5
銓,5
銘,3
銜,5
銬,5
銳,4
銷,4
鋁,5
鋒,4
鋪,5
鋸,5
鋼,4
錄,2
錐,5
錚,5
錢,2
錦,4
錫,5
錯,2
錶,5
鍊,5
鍋,4
鍍,5
鍛,5
鍵,3
鍾,4
鎔,5
鎖,4
鎚,5
鎧,5
鎮,4
鎳,5
鏈,5
鏘,5
鏟,5
鏡,4
鏢,5
鏽,5
鐘,3
鐵,3
鐸,5
鑄,5
鑑,4
鑒,5
鑫,5
鑰,5
鑼,5
鑽,5
鑿,5
针,4
钉,5
钊,5
钍,5
钓,4
钗,5
钙,5
钜,5
钝,5
钞,5
钟,3
钢,4
钣,5
钥,5
钦,4
钧,5
钮,5
钰,5
钱,2
钳,5
钻,5
铁,3
铃,4
铅,5
铎,5
铐,5
铜,5
铝,5
铠,5
铨,5
铭,3
铮,5
铲,5
银,4
铸,5
铺,5
链,5
销,4
锁,4
锅,4
锋,4
错,2
锡,5
锣,5
锥,5
锦,4
键,3
锯,5
锵,5
锺,4
锻,5
镀,5
镇,4
镍,5
镖,5
镜,4
長,2
长,2
門,2
閃,4
閉,4
開,2
閏,5
閑,5
閒,4
間,2
閔,5
閣,4
閥,5
閨,5
閩,5
閱,4
閹,5
閻,5
闆,4
闇,5
闊,4
闋,5
闌,5
闕,5
闖,5
關,2
闡,4
闢,5
门,2
闪,4
闭,4
问,1
闯,5
闰,5
闲,5
间,2
闵,5
闷,4
闹,4
闺,5
闻,3
闽,5
阀,5
阁,4
阉,5
阎,5
阐,4
阑,5
阔,4
阕,5
阙,5
队,2
阪,5
阮,5
阱,5
防,3
阳,3
阴,4
阵,3
阶,4
阻,4
阿,2
陀,4
附,3
际,3
陆,3
陈,2
陋,5
陌,5
降,4
限,3
陡,5
院,3
陣,3
除,2
陨,5
险,3
陪,4
陰,4
陳,2
陵,4
陶,5
陷,4
陸,3
陽,3
隅,5
隆,4
隊,2
隍,5
階,4
随,3
隐,4
隔,4
隕,5
隘,5
隙,5
際,3
障,4
隧,5
隨,3
險,3
隱,4
隶,5
隸,5
隻,3
难,2
雀,5
雁,5
雄,3
雅,4
集,3
雇,5
雋,5
雌,5
雍,5
雏,5
雕,5
雖,2
雙,3
雛,5
雜,3
雞,4
離,3
難,2
雨,3
雪,4
雯,5
雱,5
雲,3
雳,4
零,4
雷,3
電,1
雾,4
需,2
霄,5
霆,5
震,4
霈,5
霉,5
霍,5
霎,5
霏,5
霓,5
霖,5
霜,5
霞,5
霧,4
霭,5
露,4
霸,4
霹,4
霾,5
靂,4
靄,5
靈,3
青,3
靓,5
靖,4
静,3
靚,5
靜,3
非,2
靠,3
靡,5
面,2
靥,5
靨,5
革,4
靴,5
靶,5
鞋,4
鞍,5
鞏,5
鞑,5
鞘,5
鞠,5
鞭,5
韃,5
韋,5
韌,5
韓,4
韜,5
韦,5
韧,5
韩,4
韬,5
音,2
韶,5
韻,4
響,3
頁,4
頂,4
頃,5
項,3
順,3
須,3
頌,5
預,3
頑,4
頒,5
頓,4
頗,4
領,3
頡,5
頤,5
頭,2
頰,5
頸,5
頹,5
頻,4
顆,4
題,2
額,4
顏,4
願,3
顛,5
類,2
顧,3
顫,5
顯,3
顱,5
页,4
顶,4
顷,5
项,3
顺,3
须,3
顽,4
顾,3
顿,4
颁,5
颂,5
预,3
颅,5
领,3
颇,4
颈,5
颉,5
颊,5
颐,5
频,4
颖,5
颗,4
题,2
额,4
颠,5
颤,5
風,2
颱,5
颺,5
飄,4
飆,5
风,2
飘,4
飙,5
飛,2
飞,2
食,4
飢,5
飨,5
飪,5
飯,4
飲,4
飼,5
飽,4
飾,4
餃,5
餅,4
養,3
餌,5
餐,3
餒,5
餓,5
餘,4
館,3
餵,5
餾,5
饅,5
饋,5
饑,5
饒,5
饗,5
饥,5
饪,5
饭,4
饮,4
饰,4
饱,4
饲,5
饵,5
饶,5
饺,5
饼,4
饿,5
馁,5
馆,3
馈,5
馏,5
馒,5
首,3
香,3
馨,5
馬,2
馮,5
馳,5
馴,5
駁,5
駐,4
駒,5
駕,4
駛,4
駝,5
駭,5
駱,5
駿,5
騁,5
騎,3
騏,5
騙,4
騰,5
騷,4
驀,5
驅,4
驕,5
驗,2
驚,4
驛,5
驟,5
驢,5
马,2
驯,5
驰,5
驱,4
驳,5
驴,5
驶,4
驹,5
驻,4
驼,5
驾,4
驿,5
骄,5
骆,5
骇,5
骋,5
验,2
骏,5
骐,5
骑,3
骗,4
骚,4
骤,5
骨,4
骯,5
骰,5
骷,5
骸,5
髅,5
髏,5
髒,5
髓,5
體,2
高,2
髮,4
鬆,4
鬍,5
鬓,5
鬚,5
鬢,5
鬥,4
鬧,4
鬱,4
鬼,3
魁,5
魂,4
魄,5
魅,4
魉,5
魎,5
魏,5
魔,3
魚,3
魯,4
鮑,5
鮮,4
鯉,5
鯊,5
鯨,5
鯽,5
鰱,5
鰻,5
鱉,5
鱗,5
鱷,5
鱼,3
鲁,4
鲍,5
鲜,4
鲢,5
鲤,5
鲨,5
鲫,5
鲸,5
鳖,5
鳗,5
鳞,5
鳥,3
鳩,5
鳳,2
鳴,4
鴉,5
鴕,5
鴛,5
鴦,5
鴨,5
鴻,4
鴿,5
鵑,5
鵝,4
鵡,5
鵬,5
鵰,5
鵲,5
鶯,5
鶴,5
鷗,5
鷥,5
鷹,4
鷺,5
鸚,5
鸝,5
鸟,3
鸠,5
鸣,4
鸥,5
鸦,5
鸭,5
鸯,5
鸳,5
鸵,5
鸶,5
鸽,5
鸿,4
鹂,5
鹃,5
鹅,4
鹉,5
鹊,5
鹏,5
鹤,5
鹦,5
鹭,5
鹰,4
鹹,5
鹼,5
鹽,5
鹿,4
麒,5
麓,5
麗,3
麟,5
麥,4
麦,4
麵,4
麻,3
麼,1
黃,2
黎,4
黏,5
黑,3
默,4
黛,5
點,2
黨,2
黯,5
鼎,5
鼓,4
鼠,4
鼻,4
齊,4
齋,4
齐,4
齒,4
齡,4
齣,5
齿,4
龄,4
龍,2
龐,5
龔,5
龙,2
龚,5
龜,4
龟,4
