z1,r,z2
䤤,Simplified,𫟺
䤥,Simplified,𰽺
䤨,Simplified,𰽸
䤩,Simplified,𬭈
䤪,Simplified,𬭆
䤬,Simplified,𰾈
䤵,Simplified,𰾐
䤸,Simplified,𰾦
䤻,Simplified,𰾖
䤼,Simplified,𬭣
䥀,Semantic,捵
䥄,Simplified,𫠀
䥇,Simplified,䦂
䥑,Simplified,鿏
䥕,Simplified,𬭯
䥖,Simplified,𰾻
䥗,Simplified,𫔋
䥛,Simplified,𬭴
䥝,Simplified,𰿁
䥞,Simplified,𬭻
䥨,Semantic,鑢
䥩,Simplified,𨱖
䥯,Simplified,𫔆
䥱,Simplified,䥾
䥴,Simplified,𰿅
䥶,Simplified,𰽝
䥷,Semantic,㔍
䥷,Simplified,𰿇
䥸,Simplified,𨧮
䥺,Traditional,釾
䥽,Traditional,鏺
䥾,Traditional,䥱
䥿,Traditional,𨯅
䦀,Traditional,𨦫
䦁,Traditional,𨧜
䦂,Traditional,䥇
䦃,Traditional,鐯
䦅,Traditional,鐥
䦆,Traditional,钁
䦌,Simplified,𮤬
䦎,Simplified,𰿨
䦓,Semantic,覘
䦓,Semantic,𦕒
䦘,Simplified,𨸄
䦛,Simplified,䦶
䦝,Simplified,𬮨
䦟,Simplified,䦷
䦪,Simplified,𰿴
䦯,Simplified,𫔵
䦱,Simplified,𰿫
䦳,Simplified,𨷿
䦶,Traditional,䦛
䦷,Traditional,䦟
䧞,Simplified,𬮺
䧢,Simplified,𨸟
䨘,Semantic,霰
䨴,Simplified,𱁒
䩄,Traditional,靦
䩞,Semantic,韂
䩫,Simplified,𬰥
䪊,Semantic,龓
䪊,Simplified,𫖅
䪍,Simplified,𱁽
䪏,Simplified,𩏼
䪐,Simplified,𱂅
䪓,Simplified,𬰳
䪗,Simplified,𩐀
䪘,Simplified,𩏿
䪜,Simplified,𬰷
䪝,Simplified,𱂌
䪥,Simplified,𱂎
䪴,Simplified,𫖫
䪼,Simplified,𱂢
䪾,Simplified,𫖬
䪿,Semantic,囟
䫀,Simplified,𫖱
䫂,Simplified,𫖰
䫈,Simplified,𬱣
䫉,Simplified,𬥈
䫌,Simplified,𱂮
䫏,Simplified,𬱦
䫐,Simplified,𬃲
䫜,Simplified,𬱮
䫟,Simplified,𫖲
䫠,Simplified,𬱰
䫥,Simplified,𱆚
䫩,Simplified,𬱬
䫴,Simplified,𩖗
䫶,Simplified,𫖺
䫻,Simplified,𫗇
䫼,Simplified,𬱷
䫾,Simplified,𫠈
䬀,Simplified,𱃖
䬂,Simplified,𬱸
䬅,Simplified,𱃚
䬍,Simplified,𬲀
䬎,Simplified,𬱿
䬐,Simplified,𱃜
䬒,Semantic,颼
䬓,Simplified,𫗊
䬔,Simplified,𱃞
䬘,Simplified,𩙮
䬝,Simplified,𩙯
䬞,Simplified,𩙧
䬟,Simplified,𱃙
䬡,Semantic,翥
䬣,Simplified,𱃱
䬧,Simplified,𫗟
䬪,Simplified,𱃳
䬫,Simplified,𬲮
䬬,Simplified,𱃵
䬯,Simplified,𬲫
䬲,Simplified,𬲯
䬳,Simplified,𱃷
䬶,Simplified,𬲷
䬹,Simplified,𱃸
䬾,Simplified,𬲻
䭀,Simplified,𩠇
䭃,Simplified,𩠈
䭅,Simplified,𬲾
䭇,Simplified,𬳀
䭈,Simplified,𱄃
䭉,Simplified,𬳅
䭑,Simplified,𫗱
䭒,Simplified,𬳋
䭓,Simplified,𱃹
䭔,Simplified,𫗰
䭕,Simplified,𬲕
䭘,Simplified,𬳑
䭞,Simplified,𬲳
䭡,Simplified,𱄉
䭢,Simplified,𬲲
䭣,Simplified,𬲶
䭪,Traditional,𩞯
䭭,Simplified,𬱯
䭾,Semantic,馱
䭿,Simplified,𩧭
䮂,Simplified,𱅄
䮄,Simplified,𫠊
䮈,Simplified,𬳾
䮗,Simplified,𬴁
䮝,Simplified,𩧰
䮞,Simplified,𩨁
䮠,Simplified,𩧿
䮧,Simplified,𱅠
䮫,Simplified,𩨇
䮰,Simplified,𫘮
䮲,Simplified,𱅦
䮳,Simplified,𩨏
䮸,Simplified,𬳸
䮽,Simplified,𬴍
䮾,Simplified,𩧪
䮿,Simplified,𬴏
䯀,Simplified,䯅
䯃,Traditional,𩣑
䯄,Traditional,騧
䯅,Traditional,䯀
䯌,Semantic,尻
䯤,Simplified,𩩈
䯻,Semantic,髻
䰎,Simplified,𱆃
䰐,Simplified,𱆅
䰖,Simplified,𱆈
䰗,Semantic,鬮
䰗,Spoofing,𩰘
䰫,Simplified,𱆙
䰲,Simplified,𱇍
䰷,Simplified,𬶆
䰻,Simplified,𱇕
䰽,Simplified,𱇑
䰾,Simplified,鲃
䱀,Simplified,𫚐
䱁,Simplified,𫚏
䱂,Simplified,𱇤
䱅,Simplified,𱇚
䱅,Spoofing,鮇
䱇,Semantic,鱓
䱇,Simplified,𱇞
䱌,Simplified,𱇬
䱍,Simplified,𬶊
䱍,Compat,䱎
䱎,Simplified,𱇥
䱎,Compat,䱍
䱐,Simplified,𱇲
䱒,Simplified,𱇰
䱓,Simplified,𬶓
䱗,Simplified,𮬞
䱙,Simplified,𩾈
䱚,Simplified,𮬠
䱛,Simplified,𮬟
䱜,Simplified,𱇷
䱟,Simplified,𱈀
䱡,Simplified,𱇽
䱤,Simplified,𱇻
䱥,Simplified,𱇹
䱧,Simplified,𫚠
䱬,Simplified,𩾊
䱭,Simplified,𱈇
䱰,Simplified,𩾋
䱱,Simplified,𬶤
䱴,Simplified,𱈈
䱵,Simplified,𮬢
䱷,Semantic,漁
䱷,Simplified,䲣
䱸,Simplified,𫠑
䱹,Simplified,𬶣
䱻,Simplified,𮬡
䱽,Semantic,鯧
䱽,Simplified,䲝
䱾,Simplified,𱈆
䲁,Simplified,鳚
䲅,Simplified,𫚜
䲉,Simplified,𱈒
䲏,Simplified,𬶗
䲕,Simplified,𬶴
䲖,Simplified,𩾂
䲗,Simplified,𮬣
䲘,Simplified,鳤
䲙,Simplified,𬶎
䲚,Simplified,𱈖
䲛,Simplified,𱈛
䲝,Traditional,䱽
䲞,Traditional,𩶘
䲟,Traditional,鮣
䲠,Traditional,鰆
䲡,Traditional,鰌
䲢,Traditional,鰧
䲣,Traditional,䱷
䲤,Traditional,鿐
䲨,Simplified,𬷾
䲰,Simplified,𪉂
䲸,Simplified,𮭡
䲹,Simplified,𱉖
䲼,Simplified,𬸆
䳅,Simplified,𱉙
䳇,Simplified,𱉞
䳍,Simplified,𮭥
䳏,Simplified,𱉤
䳒,Simplified,𱉧
䳓,Simplified,𱉦
䳕,Simplified,𱉺
䳚,Simplified,𱉶
䳜,Simplified,𫛬
䳟,Simplified,𱊂
䳢,Simplified,𫛰
䳤,Simplified,𫛮
䳧,Simplified,𫛺
䳨,Simplified,𬸛
䳫,Simplified,𫛼
䳭,Simplified,𱉼
䳮,Simplified,𱊓
䳲,Simplified,𱊙
䳺,Simplified,𱊣
䴇,Simplified,𱊪
䴈,Simplified,𬸩
䴉,Simplified,鹮
䴋,Simplified,𫜅
䴓,Traditional,鳾
䴔,Traditional,鵁
䴕,Traditional,鴷
䴖,Traditional,鶄
䴗,Traditional,鶪
䴘,Traditional,鷈
䴘,Traditional,鷉
䴙,Traditional,鷿
䴙,Traditional,鸊
䴚,Simplified,𮭰
䴝,Simplified,𱊼
䴬,Simplified,𪎈
䴭,Simplified,𬹅
䴮,Simplified,𱋆
䴱,Simplified,𫜒
䴲,Simplified,𱋊
䴳,Simplified,𱋎
䴴,Simplified,𪎋
䴵,Simplified,𱋔
䴷,Simplified,𬹉
䴸,Simplified,𱋗
䴹,Semantic,餜
䴹,Simplified,𱋙
䴺,Simplified,𱋝
䴽,Simplified,𫜔
䵂,Simplified,𱋪
䵃,Simplified,𱋫
䵆,Simplified,𱋮
䵐,Simplified,𱋴
䵑,Semantic,䵒
䵒,Semantic,䵑
䵘,Simplified,𬓸
䵳,Simplified,𪑅
䵴,Simplified,𫜙
䵶,Simplified,𱌁
䵷,Simplified,𱌃
䶏,Semantic,涕
䶕,Simplified,𫜨
䶗,Simplified,𮯙
䶢,Simplified,𬺍
䶣,Simplified,𬺃
䶦,Simplified,𬺉
䶧,Simplified,𱌰
䶨,Simplified,𱌵
䶪,Simplified,𬺕
䶮,Traditional,龑
䶱,Simplified,𱍇
䶲,Simplified,𫜳
一,Semantic,弌
一,Semantic,壹
一,SpecializedSemantic,壹
七,Semantic,柒
七,SpecializedSemantic,柒
万,Semantic,卍
万,Semantic,萬
万,Traditional,萬
三,Semantic,叁
三,SpecializedSemantic,叁
与,Semantic,與
与,Traditional,與
丐,Semantic,匃
丑,Traditional,醜
专,Traditional,專
丕,SpecializedSemantic,仳
丘,Semantic,㐀
丘,Semantic,坵
业,Traditional,業
丛,Traditional,叢
东,Semantic,東
东,Traditional,東
丝,Traditional,絲
丟,Semantic,丢
丟,Simplified,丢
両,Semantic,兩
両,Semantic,两
丢,Semantic,丟
丢,Traditional,丟
两,Semantic,両
两,Semantic,兩
两,Traditional,兩
严,Traditional,嚴
並,Semantic,幷
並,Semantic,并
並,Semantic,竝
並,Simplified,并
丧,Traditional,喪
个,Semantic,個
个,Semantic,箇
个,SpecializedSemantic,個
个,Traditional,個
中,SpecializedSemantic,塚
丰,Traditional,豐
临,Traditional,臨
为,Traditional,為
丼,SpecializedSemantic,井
丽,Traditional,麗
举,Traditional,舉
乃,Semantic,迺
乃,Semantic,廼
么,Semantic,幺
么,Traditional,幺
么,Traditional,麼
么,Traditional,麽
义,Semantic,義
义,Traditional,義
乌,Traditional,烏
乐,Traditional,樂
乔,Semantic,喬
乔,Traditional,喬
乚,Semantic,隱
九,Semantic,玖
习,Traditional,習
乡,Traditional,鄉
书,Traditional,書
买,Traditional,買
乱,Semantic,亂
乱,Traditional,亂
乹,Semantic,乾
乾,Semantic,乹
乾,Semantic,亁
乾,Simplified,乾
乾,Simplified,干
乾,SpecializedSemantic,亁
乾,Traditional,乾
亁,Semantic,乾
亁,SpecializedSemantic,乾
亂,Semantic,乱
亂,Simplified,乱
了,Traditional,瞭
予,Semantic,余
争,Semantic,爭
争,Traditional,爭
亊,Semantic,事
事,Semantic,亊
