z1,r,z2
縛,Simplified,缚
縜,Simplified,𰬚
縝,Simplified,缜
縞,Simplified,缟
縟,Semantic,溽
縟,Simplified,缛
縡,Simplified,𰬴
縣,Simplified,县
縧,Simplified,绦
縩,Simplified,𮉯
縪,Simplified,𰬎
縫,Simplified,缝
縬,Simplified,𦈚
縭,Semantic,褵
縭,Simplified,缡
縮,Simplified,缩
縯,Semantic,䌥
縯,Simplified,𬙂
縰,Simplified,𫄳
縱,Simplified,纵
縲,Simplified,缧
縳,Simplified,䌸
縴,Simplified,𰬮
縵,Simplified,缦
縶,Simplified,絷
縷,Simplified,缕
縸,Simplified,𫄲
縹,Simplified,缥
縺,Simplified,𦈐
縼,Simplified,𰬵
總,Semantic,搃
總,Semantic,摠
總,Simplified,总
績,Simplified,绩
縿,Simplified,𰬪
繀,Simplified,𮉮
繂,Simplified,𫄴
繃,Semantic,綳
繃,Simplified,绷
繅,Semantic,繰
繅,Simplified,缫
繆,Simplified,缪
繈,Semantic,繦
繈,Semantic,襁
繈,Simplified,𫄶
繎,Simplified,𬙇
繏,Simplified,𦈝
繐,Simplified,𰬸
繑,Simplified,𰬐
繒,Simplified,缯
繓,Simplified,𦈛
織,Simplified,织
繕,Simplified,缮
繖,Semantic,傘
繖,Simplified,𰬷
繗,Simplified,𬙈
繘,Simplified,𰬻
繙,Simplified,𬙆
繚,Simplified,缭
繜,Simplified,𰬺
繞,Semantic,遶
繞,Simplified,绕
繟,Simplified,𦈎
繡,Semantic,綉
繡,Simplified,绣
繡,Simplified,𰬩
繢,Simplified,缋
繢,SpecializedSemantic,繪
繣,Simplified,𰬠
繦,Semantic,繈
繦,Semantic,襁
繨,Simplified,𫄤
繩,Semantic,䋲
繩,Simplified,绳
繪,Simplified,绘
繪,SpecializedSemantic,繢
繫,Simplified,系
繬,Simplified,𫄱
繭,Simplified,茧
繮,Semantic,韁
繮,Simplified,缰
繯,Simplified,缳
繰,Semantic,繅
繰,Simplified,缲
繲,Semantic,挫
繲,Simplified,𰬽
繳,Simplified,缴
繵,Simplified,𬙉
繶,Simplified,𫄷
繷,Simplified,𫄣
繸,Simplified,䍁
繹,Simplified,绎
繻,Simplified,𦈡
繼,Simplified,继
繽,Simplified,缤
繾,Simplified,缱
繿,Simplified,䍀
纀,Simplified,𰬿
纁,Simplified,𫄸
纂,SpecializedSemantic,臇
纂,SpecializedSemantic,𤎱
纃,Simplified,𬘧
纆,Simplified,𬙊
纇,Simplified,颣
纈,Simplified,缬
纊,Semantic,絖
纊,Simplified,纩
纊,SpecializedSemantic,絖
纋,Simplified,𰭀
續,Simplified,续
纍,Simplified,累
纎,Semantic,纖
纏,Simplified,缠
纑,Simplified,𮉡
纓,Simplified,缨
纔,Simplified,才
纔,SpecializedSemantic,才
纕,Simplified,𬙋
纖,Semantic,砌
纖,Semantic,纎
纖,Simplified,纤
纗,Simplified,𫄹
纘,Simplified,缵
纚,Simplified,𫄥
纜,Semantic,䌫
纜,Simplified,缆
纟,Traditional,糹
纠,Traditional,糾
纡,Traditional,紆
红,Traditional,紅
纣,Traditional,紂
纤,Traditional,纖
纥,Traditional,紇
约,Traditional,約
级,Traditional,級
纨,Traditional,紈
纩,Traditional,纊
纪,Traditional,紀
纫,Traditional,紉
纬,Traditional,緯
纭,Traditional,紜
纮,Traditional,紘
纯,Traditional,純
纰,Traditional,紕
纱,Traditional,紗
纲,Traditional,綱
纳,Traditional,納
纴,Traditional,紝
纵,Traditional,縱
纶,Traditional,綸
纷,Traditional,紛
纸,Traditional,紙
纹,Traditional,紋
纺,Traditional,紡
纻,Traditional,紵
纼,Traditional,紖
纽,Traditional,紐
纾,Traditional,紓
线,Traditional,線
绀,Traditional,紺
绁,Traditional,紲
绂,Traditional,紱
练,Traditional,練
组,Traditional,組
绅,Traditional,紳
细,Traditional,細
织,Traditional,織
终,Traditional,終
绉,Traditional,縐
绊,Traditional,絆
绋,Traditional,紼
绌,Traditional,絀
绍,Traditional,紹
绎,Traditional,繹
经,Traditional,經
绐,Traditional,紿
绑,Traditional,綁
绒,Traditional,絨
结,Traditional,結
绔,Traditional,絝
绕,Traditional,繞
绖,Traditional,絰
绗,Traditional,絎
绘,Traditional,繪
给,Traditional,給
绚,Traditional,絢
绛,Traditional,絳
络,Traditional,絡
绝,Traditional,絕
绞,Traditional,絞
统,Traditional,統
绠,Traditional,綆
绡,Traditional,綃
绢,Traditional,絹
绣,Traditional,繡
绤,Traditional,綌
绥,Traditional,綏
绦,Traditional,絛
绦,Traditional,縧
继,Traditional,繼
绨,Traditional,綈
绩,Traditional,績
绪,Traditional,緒
绫,Traditional,綾
绬,Traditional,緓
续,Traditional,續
绮,Traditional,綺
绯,Traditional,緋
绰,Traditional,綽
绱,Traditional,緔
绱,Traditional,鞝
绲,Traditional,緄
绳,Traditional,繩
维,Traditional,維
绵,Traditional,綿
绶,Traditional,綬
绷,Traditional,繃
绸,Traditional,綢
绹,Traditional,綯
绺,Traditional,綹
绻,Traditional,綣
综,Traditional,綜
绽,Traditional,綻
绾,Traditional,綰
绿,Traditional,綠
缀,Traditional,綴
缁,Traditional,緇
缂,Traditional,緙
缃,Traditional,緗
缄,Traditional,緘
缅,Traditional,緬
缆,Traditional,纜
缇,Traditional,緹
缈,Traditional,緲
缉,Traditional,緝
缊,Traditional,縕
缋,Traditional,繢
缌,Traditional,緦
缍,Traditional,綞
缎,Traditional,緞
缏,Traditional,緶
缐,Traditional,線
缑,Traditional,緱
缒,Traditional,縋
缓,Traditional,緩
缔,Traditional,締
缕,Traditional,縷
编,Traditional,編
缗,Traditional,緡
缘,Traditional,緣
缙,Traditional,縉
缚,Traditional,縛
缛,Traditional,縟
缜,Traditional,縝
缝,Traditional,縫
缞,Traditional,縗
缟,Traditional,縞
缠,Traditional,纏
缡,Traditional,縭
缢,Traditional,縊
缣,Traditional,縑
缤,Traditional,繽
缥,Traditional,縹
缦,Traditional,縵
缧,Traditional,縲
缨,Traditional,纓
缩,Traditional,縮
缪,Traditional,繆
缫,Traditional,繅
缬,Traditional,纈
缭,Traditional,繚
缮,Traditional,繕
缯,Traditional,繒
缰,Traditional,繮
缰,Traditional,韁
缱,Traditional,繾
缲,Traditional,繰
缳,Traditional,繯
缴,Traditional,繳
缵,Traditional,纘
缶,Semantic,缻
缸,Semantic,堈
缸,Semantic,罁
缻,Semantic,缶
缽,Semantic,鉢
缽,Simplified,钵
缾,Semantic,瓶
罁,Semantic,堈
罁,Semantic,缸
罂,Traditional,罌
罃,Semantic,甖
罃,Semantic,罌
罅,Semantic,𨻲
罆,Simplified,𰭄
罇,Semantic,墫
罇,Semantic,樽
罈,Semantic,墰
罈,Semantic,壜
罈,Simplified,坛
罈,SpecializedSemantic,墰
罋,Semantic,瓮
罋,Semantic,甕
罌,Semantic,甖
罌,Semantic,罃
罌,Simplified,罂
罏,Simplified,𬙎
罐,Semantic,礶
网,Semantic,㓁
网,Semantic,罔
网,Traditional,網
罔,Semantic,网
罗,Semantic,羅
罗,Traditional,羅
罚,Traditional,罰
罢,Traditional,罷
罩,Semantic,䈇
罪,Semantic,辠
置,Semantic,寘
罰,Simplified,罚
署,SpecializedSemantic,穎
罴,Traditional,羆
罵,Semantic,傌
罵,Simplified,骂
罷,Simplified,罢
罼,Simplified,𬙝
羁,Traditional,羈
羂,Simplified,𰭔
羃,Semantic,冪
羅,Semantic,罗
羅,Simplified,罗
羆,Simplified,罴
羈,Semantic,覊
羈,Simplified,羁
羋,Simplified,芈
羌,Semantic,羗
美,Semantic,羙
羓,Semantic,豝
羖,Semantic,𦍩
羗,Semantic,羌
羙,Semantic,美
羟,Traditional,羥
羡,Semantic,羨
羣,Semantic,群
群,Semantic,羣
羥,Simplified,羟
羨,Semantic,羡
義,Semantic,义
義,Simplified,义
羮,Semantic,羹
羴,Semantic,羶
羵,Simplified,𫅗
羶,Semantic,羴
羶,SpecializedSemantic,膻
羹,Semantic,羮
翄,Semantic,翅
翅,Semantic,翄
習,Simplified,习
翘,Traditional,翹
翙,Traditional,翽
翚,Traditional,翬
翜,Simplified,𰭢
翥,Semantic,䬡
翦,Semantic,剪
翬,Simplified,翚
翱,Semantic,翺
翹,Simplified,翘
翺,Semantic,翱
翼,SpecializedSemantic,折
翽,Simplified,翙
翿,Simplified,𰭣
耀,Semantic,曜
耀,Semantic,燿
考,Semantic,攷
耏,Semantic,耐
耐,Semantic,耏
耑,Semantic,專
耒,SpecializedSemantic,來
耔,Semantic,秄
耕,Semantic,畊
耕,Semantic,簡
耕,SpecializedSemantic,畊
耗,Semantic,秏
耘,Semantic,秐
耙,Semantic,鈀
耜,Semantic,㭒
耢,Traditional,耮
耤,Semantic,藉
耧,Traditional,耬
耨,Semantic,鎒
耬,Simplified,耧
耮,Simplified,耢
耰,Semantic,櫌
耴,Spoofing,𦔮
耸,Traditional,聳
耻,Semantic,恥
耻,Traditional,恥
耼,Semantic,聃
聂,Traditional,聶
聃,Semantic,耼
聋,Traditional,聾
职,Traditional,職
聍,Traditional,聹
联,Traditional,聯
聖,Semantic,圣
聖,Simplified,圣
聝,Semantic,馘
聞,Simplified,闻
聦,Semantic,聰
聩,Traditional,聵
聪,Traditional,聰
聯,Simplified,联
聰,Semantic,聦
聰,Simplified,聪
聲,Semantic,声
聲,Simplified,声
聳,Simplified,耸
聵,Simplified,聩
聶,Simplified,聂
職,Semantic,軄
職,Simplified,职
聹,Simplified,聍
聻,Semantic,魙
聻,Simplified,𫆏
聽,Semantic,听
聽,Simplified,听
聽,SpecializedSemantic,听
聾,Simplified,聋
肃,Traditional,肅
肅,Simplified,肃
肆,Semantic,四
肆,SpecializedSemantic,四
肇,Semantic,肈
肈,Semantic,肇
肐,Semantic,胳
肐,Semantic,𩨘
肕,Semantic,韌
肕,SpecializedSemantic,韌
肞,Spoofing,𮌋
肠,Traditional,腸
股,Semantic,𦙶
肢,Semantic,胑
肤,Traditional,膚
肦,Spoofing,朌
肧,Semantic,胚
肨,Semantic,胮
肬,Semantic,疣
肮,Traditional,骯
肱,Semantic,厷
育,Semantic,毓
肳,Semantic,吻
肴,Semantic,餚
肴,Simplified,肴
肴,Traditional,肴
肴,Traditional,餚
肾,Traditional,腎
肿,Traditional,腫
胀,Traditional,脹
胁,Traditional,脅
胄,Semantic,伷
胄,Semantic,冑
胄,SpecializedSemantic,伷
胆,Semantic,膽
胆,Traditional,膽
胊,Spoofing,朐
背,SpecializedSemantic,絣
胐,Spoofing,朏
胑,Semantic,肢
胓,Semantic,𦚓
胔,Semantic,骴
胗,Semantic,疹
胚,Semantic,肧
胜,Traditional,勝
胡,Traditional,衚
胡,Traditional,鬍
胧,Traditional,朧
胨,Traditional,腖
胪,Traditional,臚
胫,Traditional,脛
胭,Semantic,臙
胮,Semantic,肨
胯,Semantic,骻
胳,Semantic,肐
胳,Semantic,𩨘
胶,Spoofing,㬵
胶,Traditional,膠
胷,Semantic,匈
胷,Semantic,胸
胸,Semantic,匈
胸,Semantic,胷
胼,Compat,腁
脁,Spoofing,朓
脃,Semantic,脆
脅,Semantic,脇
脅,Simplified,胁
脅,SpecializedSemantic,勰
脆,Semantic,脃
脇,Semantic,脅
脈,Semantic,衇
脈,Semantic,脉
脈,Simplified,脉
脈,SpecializedSemantic,衇
脉,Semantic,䘑
脉,Semantic,脈
脉,Semantic,衇
脉,SpecializedSemantic,衇
脉,Traditional,脈
脍,Traditional,膾
脏,Traditional,臟
脏,Traditional,髒
脐,Traditional,臍
脑,Traditional,腦
脓,Traditional,膿
脔,Traditional,臠
脚,Semantic,腳
脚,Traditional,腳
脛,Simplified,胫
脣,Semantic,唇
脥,Simplified,𣍰
脧,Spoofing,朘
脪,Semantic,㾙
脫,Simplified,脱
脫,Compat,脱
脱,Traditional,脫
脱,Compat,脫
脶,Traditional,腡
脸,Traditional,臉
脹,Semantic,痮
脹,Simplified,胀
脼,Spoofing,𣍷
腁,Compat,胼
腊,Semantic,臈
腊,Semantic,臘
腊,Traditional,臘
腌,SpecializedSemantic,骯
腎,Simplified,肾
腕,Semantic,𦙵
腖,Simplified,胨
腘,Traditional,膕
腡,Simplified,脶
腢,Semantic,髃
腦,Semantic,匘
腦,Simplified,脑
腪,Simplified,𣍯
腫,Semantic,尰
腫,Simplified,肿
腭,Semantic,齶
腭,Traditional,齶
腮,Semantic,顋
腳,Semantic,脚
腳,Simplified,脚
腸,Simplified,肠
腻,Traditional,膩
腼,Traditional,靦
腽,Traditional,膃
腾,Traditional,騰
腿,Semantic,骽
膃,Simplified,腽
膆,Semantic,嗉
膋,Semantic,膫
膑,Traditional,臏
膒,Simplified,𬁵
膕,Simplified,腘
膚,Simplified,肤
膞,Simplified,䏝
膠,Simplified,胶
膢,Simplified,𦝼
膧,Spoofing,朣
膩,Simplified,腻
膫,Semantic,膋
膮,Simplified,𰮝
膳,Semantic,饍
膴,Simplified,𰮇
膶,Simplified,𬂀
膷,Simplified,𰮅
膹,Simplified,𪱥
膻,SpecializedSemantic,羶
膽,Semantic,胆
膽,Simplified,胆
膾,Semantic,鱠
膾,Simplified,脍
膾,SpecializedSemantic,鱠
膿,Simplified,脓
臇,Semantic,𤎱
臇,Simplified,䐪
臇,SpecializedSemantic,纂
臈,Semantic,腊
臈,Semantic,臘
臉,Simplified,脸
臊,Semantic,𦞣
臍,Simplified,脐
臏,Semantic,髕
臏,Simplified,膑
臗,Simplified,𣎑
臘,Semantic,腊
臘,Semantic,臈
臘,Simplified,腊
臙,Semantic,胭
臚,Simplified,胪
臜,Traditional,臢
臞,Semantic,癯
臟,Simplified,脏
臠,Simplified,脔
臡,Simplified,𰯋
臢,Simplified,臜
臥,Semantic,卧
臨,Simplified,临
臭,Spoofing,𦤀
臯,Semantic,皋
致,Simplified,致
致,Spoofing,𦤶
致,Traditional,緻
致,Traditional,致
臺,Semantic,台
臺,Simplified,台
舀,Semantic,抌
舀,SpecializedSemantic,外
舀,Spoofing,𦥝
舆,Traditional,輿
與,Semantic,与
與,Simplified,与
興,Semantic,㒷
興,Simplified,兴
興,SpecializedSemantic,㒷
舉,Semantic,㪯
舉,Semantic,擧
舉,Simplified,举
舊,Semantic,旧
舊,Simplified,旧
舍,SpecializedSemantic,捨
舍,Traditional,捨
舐,Semantic,舓
舒,SpecializedSemantic,摴
舓,Semantic,舐
舔,Semantic,餂
舖,Semantic,鋪
舖,SpecializedSemantic,鋪
舘,Semantic,館
舝,Spoofing,𤛉
舡,Semantic,船
舣,Traditional,艤
舦,Semantic,艜
舰,Traditional,艦
舱,Traditional,艙
舵,Semantic,柁
船,Semantic,舡
舻,Traditional,艫
艑,SpecializedSemantic,扁
艙,Simplified,舱
艛,Simplified,𰰑
艜,Semantic,舦
艜,Simplified,𰰏
艢,Semantic,檣
艤,Simplified,舣
艥,Semantic,楫
艥,Semantic,檝
艦,Simplified,舰
艪,Semantic,樐
艪,Semantic,櫓
艫,Simplified,舻
艭,Simplified,𰰋
艰,Traditional,艱
艱,Simplified,艰
艳,Traditional,艷
艶,Semantic,豓
艶,Semantic,豔
艷,Simplified,艳
艸,Semantic,草
艸,Semantic,艹
艹,Semantic,艸
艹,Semantic,草
艺,Traditional,藝
节,Traditional,節
芈,Traditional,羋
芒,Semantic,杧
芔,Semantic,卉
芗,Traditional,薌
芜,Traditional,蕪
芟,Semantic,𠚹
芦,Semantic,蘆
芦,Traditional,蘆
花,Semantic,蘤
芲,Spoofing,𰰨
芸,Traditional,蕓
芻,Semantic,蒭
芻,Semantic,𦷝
芻,Simplified,刍
苁,Traditional,蓯
苇,Traditional,葦
苈,Traditional,藶
苋,Traditional,莧
苌,Traditional,萇
苍,Traditional,蒼
苎,Traditional,苧
苏,Traditional,蘇
苕,Semantic,䒒
苛,SpecializedSemantic,哼
苟,Semantic,茍
苡,Semantic,苢
苢,Semantic,苡
苤,Semantic,瞥
苧,Simplified,苎
苧,Traditional,薴
苹,Traditional,蘋
苺,Semantic,莓
苿,Compat,茉
范,Traditional,範
茉,Compat,苿
茍,Semantic,苟
茎,Traditional,莖
茏,Traditional,蘢
茑,Traditional,蔦
茔,Traditional,塋
茕,Traditional,煢
茠,Semantic,薅
茧,Traditional,繭
茲,Semantic,兹
茲,Semantic,玆
茲,Simplified,兹
荅,Semantic,答
荆,Semantic,荊
荆,Traditional,荊
荇,Semantic,莕
草,Semantic,艸
草,Semantic,艹
荊,Semantic,荆
荊,Simplified,荆
荍,Semantic,蕎
荐,Semantic,薦
荐,Traditional,薦
荔,Semantic,栛
荙,Traditional,薘
荚,Traditional,莢
荛,Traditional,蕘
荜,Traditional,蓽
荝,Traditional,萴
荞,Traditional,蕎
荟,Traditional,薈
荠,Traditional,薺
荡,Traditional,盪
荡,Traditional,蕩
荣,Semantic,榮
荣,Traditional,榮
荤,Traditional,葷
荥,Traditional,滎
荦,Traditional,犖
荧,Traditional,熒
荨,Traditional,蕁
荩,Traditional,藎
荪,Traditional,蓀
荫,Traditional,蔭
荬,Traditional,蕒
荭,Traditional,葒
荮,Traditional,葤
药,Traditional,藥
荳,Semantic,豆
莀,Semantic,農
莅,Semantic,涖
莅,Semantic,蒞
莅,Traditional,蒞
莊,Semantic,庄
莊,Simplified,庄
莓,Semantic,苺
莕,Semantic,荇
莖,Simplified,茎
莜,Semantic,蓧
莢,Simplified,荚
莧,Simplified,苋
莩,SpecializedSemantic,殍
莱,Traditional,萊
莲,Traditional,蓮
莳,Traditional,蒔
莴,Traditional,萵
莶,Traditional,薟
获,Traditional,獲
获,Traditional,穫
莸,Traditional,蕕
莹,Traditional,瑩
莺,Traditional,鶯
莼,Traditional,蓴
莿,Semantic,朿
莿,SpecializedSemantic,刺
菇,Semantic,菰
菌,Semantic,蕈
菌,SpecializedSemantic,滾
菑,Semantic,災
菑,Semantic,灾
菑,Semantic,烖
菑,Semantic,甾
菓,Semantic,果
菔,Semantic,蔔
菕,Simplified,𰰨
菢,Semantic,勽
菫,Semantic,堇
華,Simplified,华
華,SpecializedSemantic,崋
華,SpecializedSemantic,蕐
菰,Semantic,菇
菴,Semantic,庵
菸,Semantic,烟
菸,Semantic,煙
菸,SpecializedSemantic,煙
萆,Semantic,蓖
萇,Simplified,苌
萊,Simplified,莱
萒,Spoofing,𦳆
萚,Traditional,蘀
萝,Traditional,蘿
萤,Traditional,螢
营,Traditional,營
萦,Traditional,縈
萧,Traditional,蕭
萨,Traditional,薩
萬,Semantic,万
萬,Semantic,卍
萬,Simplified,万
萯,Simplified,𰰷
萱,Semantic,萲
萲,Semantic,萱
萴,Simplified,荝
萵,Simplified,莴
葁,Semantic,薑
葉,Simplified,叶
葒,Simplified,荭
著,Semantic,着
著,Simplified,着
著,Simplified,著
著,SpecializedSemantic,着
著,SpecializedSemantic,螫
著,Traditional,著
葚,Semantic,椹
葝,Simplified,𫈎
葢,Semantic,盖
葢,Semantic,蓋
葤,Simplified,荮
葦,Simplified,苇
葬,Semantic,塟
葯,Semantic,藥
葱,Semantic,蔥
葱,Traditional,蔥
葷,Simplified,荤
葻,Simplified,𬜥
蒁,Spoofing,𦳯
蒇,Traditional,蕆
蒉,Traditional,蕢
蒋,Traditional,蔣
蒌,Traditional,蔞
蒍,Simplified,𫇭
蒍,Compat,蔿
蒒,Simplified,𰰳
蒓,Semantic,蓴
蒔,Simplified,莳
蒙,Traditional,懞
蒙,Traditional,濛
蒙,Traditional,矇
蒞,Semantic,涖
蒞,Semantic,莅
蒞,Simplified,莅
蒭,Semantic,芻
蒭,Simplified,𫇴
蒳,Simplified,𰱌
蒶,Simplified,𰱍
蒸,Semantic,烝
蒼,Simplified,苍
蓀,Simplified,荪
蓋,Semantic,盖
蓋,Semantic,葢
蓋,Simplified,盖
蓖,Semantic,萆
蓝,Traditional,藍
蓟,Traditional,薊
蓠,Traditional,蘺
蓣,Traditional,蕷
蓥,Traditional,鎣
蓦,Traditional,驀
蓧,Semantic,莜
蓮,Simplified,莲
蓯,Simplified,苁
蓲,Simplified,𰰤
蓴,Semantic,蒓
蓴,Simplified,莼
蓺,Semantic,埶
蓺,Semantic,秇
蓺,Semantic,藝
蓽,Simplified,荜
蔂,Traditional,虆
蔄,Simplified,𬜬
蔎,Simplified,𰰺
蔑,Traditional,衊
蔔,Semantic,菔
蔔,Simplified,卜
蔗,Semantic,𧀹
蔚,Semantic,嶎
蔞,Simplified,蒌
蔞,SpecializedSemantic,褸
蔠,Simplified,𰱛
蔣,Simplified,蒋
蔥,Semantic,葱
蔥,Simplified,葱
蔦,Simplified,茑
蔪,Simplified,𰱑
蔭,Semantic,廕
蔭,Simplified,荫
蔮,Simplified,𬜿
蔯,Simplified,𫈟
蔱,Simplified,𰰵
蔴,Semantic,麻
蔴,SpecializedSemantic,麻
蔷,Traditional,薔
蔹,Traditional,蘞
蔺,Traditional,藺
蔼,Traditional,藹
蔿,Compat,蒍
蕁,Simplified,荨
蕄,Simplified,𰱉
蕆,Simplified,蒇
蕈,Semantic,菌
蕊,Semantic,蕋
蕋,Semantic,蕊
蕎,Semantic,荍
蕎,Simplified,荞
蕐,SpecializedSemantic,華
蕑,Simplified,𰱇
蕒,Simplified,荬
蕓,Simplified,芸
蕕,Simplified,莸
蕘,Simplified,荛
蕝,Simplified,𫈵
蕟,Simplified,𬜧
蕡,Simplified,𰱟
蕢,Semantic,簣
蕢,Semantic,籄
蕢,Simplified,蒉
蕣,Semantic,橓
蕤,Semantic,甤
蕧,Simplified,𰱦
蕩,Semantic,偒
蕩,Semantic,盪
蕩,Semantic,蘯
蕩,Simplified,荡
蕪,Simplified,芜
蕭,Simplified,萧
蕰,Traditional,薀
蕲,Traditional,蘄
蕳,Simplified,𫈉
蕴,Traditional,蘊
蕷,Simplified,蓣
蕽,Simplified,𫇽
薀,Simplified,蕰
薅,Semantic,茠
薆,Simplified,𫉁
薈,Simplified,荟
薉,Simplified,𬜨
薊,Simplified,蓟
薋,Simplified,𰱱
薌,Simplified,芗
薑,Semantic,葁
薑,Simplified,姜
薓,SpecializedSemantic,參
薔,Simplified,蔷
薖,Simplified,𰰾
薘,Simplified,荙
薟,Semantic,蘞
薟,Simplified,莶
薠,Simplified,𮐚
薦,Semantic,荐
薦,Simplified,荐
薩,Simplified,萨
薮,Traditional,藪
薯,Semantic,藷
薱,Simplified,𰰱
薲,Simplified,𬝯
薳,Simplified,䓕
薴,Simplified,苧
薵,Simplified,䓓
薺,Simplified,荠
藇,Semantic,𨣦
藇,Simplified,𰰠
藉,Semantic,耤
藉,Simplified,借
藉,Simplified,藉
藉,Traditional,藉
藍,Simplified,蓝
藎,Simplified,荩
藓,Traditional,蘚
藖,Simplified,𬜾
藘,Simplified,𰱮
藚,Simplified,𰱐
藝,Semantic,埶
藝,Semantic,秇
藝,Semantic,蓺
藝,Simplified,艺
藟,Semantic,蘽
藣,Simplified,𰱯
藤,Semantic,籐
藥,Semantic,葯
藥,Simplified,药
藦,Semantic,蘑
藪,Simplified,薮
藬,Simplified,𬞘
藭,Simplified,䓖
藰,Simplified,𰰹
藶,Simplified,苈
藷,Semantic,薯
藷,Simplified,𫉄
藹,Simplified,蔼
藺,Simplified,蔺
藾,Simplified,𰱾
蘀,Simplified,萚
蘄,Simplified,蕲
蘆,Semantic,芦
蘆,Simplified,芦
蘇,Simplified,苏
蘈,Simplified,𰲁
蘊,Simplified,蕴
蘋,Simplified,苹
蘋,Simplified,𬞟
蘑,Semantic,藦
蘖,Semantic,櫱
蘖,Traditional,櫱
蘚,Simplified,藓
蘞,Semantic,薟
蘞,Simplified,蔹
蘟,Simplified,𦻕
蘡,Simplified,𮐨
蘡,SpecializedSemantic,櫻
蘢,Simplified,茏
蘤,Semantic,花
蘫,Simplified,𬞫
蘬,Simplified,𰰮
蘭,Simplified,兰
蘭,Simplified,𬞕
蘯,Semantic,盪
蘯,Semantic,蕩
蘱,Simplified,𰲒
蘵,Simplified,𰱲
蘷,Spoofing,𧅄
蘷,Compat,虁
蘹,Simplified,𬜸
蘺,Simplified,蓠
蘽,Semantic,藟
蘿,Simplified,萝
虁,Spoofing,𧅄
虁,Compat,蘷
虅,Simplified,𰲂
虆,Simplified,蔂
虉,Simplified,𬟁
虏,Traditional,虜
虐,Semantic,䖈
虑,Traditional,慮
虓,Semantic,唬
虓,Semantic,猇
虔,Semantic,䖍
處,Semantic,䖏
處,Semantic,処
處,Simplified,处
處,SpecializedSemantic,䖏
處,SpecializedSemantic,処
虚,Traditional,虛
虛,Simplified,虚
虜,Semantic,擄
虜,Simplified,虏
虜,SpecializedSemantic,擄
虞,Semantic,𩦢
號,Semantic,号
號,Simplified,号
號,SpecializedSemantic,号
虣,Semantic,暴
虦,Simplified,𰲠
虧,Simplified,亏
虫,Semantic,蟲
虫,Traditional,蟲
虬,Semantic,蚪
虬,Semantic,虯
虬,Traditional,虯
虮,Traditional,蟣
虯,Semantic,虬
虯,Simplified,虬
虱,Semantic,蝨
虽,Traditional,雖
虾,Traditional,蝦
虿,Traditional,蠆
蚀,Traditional,蝕
蚁,Traditional,蟻
蚂,Traditional,螞
蚃,Traditional,蠁
蚊,Semantic,蟁
蚋,Semantic,蜹
蚓,Semantic,螾
蚕,Semantic,蠶
蚕,Spoofing,𧉕
蚕,Traditional,蠶
蚘,Semantic,痐
蚘,Semantic,蛔
蚘,Semantic,蛕
蚝,Semantic,螆
蚤,Semantic,䖣
蚦,Semantic,蚺
蚪,Semantic,虬
蚬,Traditional,蜆
蚺,Semantic,蚦
蛄,Semantic,蛌
蛆,Semantic,𧐅
蛊,Traditional,蠱
蛋,Semantic,蜑
蛌,Semantic,蛄
蛎,Traditional,蠣
蛏,Traditional,蟶
蛓,Semantic,螆
蛔,Semantic,蚘
蛔,Semantic,蛕
蛕,Semantic,蚘
蛕,Semantic,蛔
蛗,Semantic,𧌓
蛙,Semantic,鼃
蛛,Semantic,鼄
蛮,Traditional,蠻
蛰,Traditional,蟄
蛱,Traditional,蛺
蛲,Traditional,蟯
蛳,Traditional,螄
蛴,Traditional,蠐
蛵,Simplified,𰲶
蛺,Simplified,蛱
蛻,Simplified,蜕
蛻,Compat,蜕
蛼,Simplified,𰲬
蜂,Semantic,蠭
蜆,Simplified,蚬
蜇,Semantic,𧋍
蜋,Semantic,螂
蜋,SpecializedSemantic,螂
蜍,Semantic,蠩
蜑,Semantic,蛋
蜕,Traditional,蛻
蜕,Compat,蛻
蜗,Traditional,蝸
蜝,Semantic,蜞
蜞,Semantic,蜝
蜡,Semantic,䄍
蜡,Semantic,蠟
蜡,Simplified,蜡
蜡,SpecializedSemantic,䄍
蜡,SpecializedSemantic,蠟
蜡,Traditional,蜡
蜡,Traditional,蠟
蜦,Simplified,𰲰
蜨,Semantic,蝶
蜨,SpecializedSemantic,蝶
蜫,Semantic,䖵
蜶,Semantic,蟀
蜸,Simplified,𰲮
蜹,Semantic,蚋
蜽,Simplified,𮔊
蝀,Simplified,𬟽
蝁,Simplified,𰲸
蝃,Semantic,螮
蝇,Semantic,蠅
蝇,Traditional,蠅
蝈,Traditional,蟈
蝉,Traditional,蟬
蝎,Semantic,蠍
蝕,Simplified,蚀
蝜,Simplified,𮔅
蝟,Semantic,猬
蝟,Simplified,猬
蝥,Semantic,蟊
蝦,Semantic,鰕
蝦,Simplified,虾
蝦,SpecializedSemantic,鰕
蝨,Semantic,虱
蝯,Semantic,猨
蝯,Semantic,猿
蝱,Semantic,䖟
蝶,Semantic,蜨
蝶,SpecializedSemantic,蜨
蝸,Simplified,蜗
蝼,Traditional,螻
蝾,Traditional,蠑
螀,Traditional,螿
螂,Semantic,蜋
螂,SpecializedSemantic,蜋
螄,Simplified,蛳
螆,Semantic,蚝
螆,Semantic,蛓
融,Semantic,螎
螎,Semantic,融
螗,Semantic,螳
螘,Semantic,蟻
螘,Simplified,𰲹
螙,Semantic,蠧
螞,Simplified,蚂
螢,Simplified,萤
